player,shots,goals,xg,sb_xg,diff
Luis Alberto Suárez Díaz,134,37,22.6,23.7,14.4
Zlatan Ibrahimović,142,31,17.1,18.0,13.9
Gareth Frank Bale,81,19,8.3,9.0,10.7
Gonzalo Gerardo Higuaín,179,33,22.5,22.7,10.5
Antoine Griezmann,90,21,12.2,14.4,8.8
Cristiano Ronaldo dos Santos Aveiro,219,29,22.7,24.9,6.3
Mohamed Salah,73,14,7.7,8.5,6.3
Karim Benzema,98,24,17.8,17.4,6.2
Hatem Ben Arfa,87,12,6.2,5.9,5.8
Sergio Leonel Agüero del Castillo,113,20,14.3,13.8,5.7
Imanol Agirretxe Arruti,45,13,7.8,8.6,5.2
Riyad Mahrez,81,13,7.9,7.5,5.1
Ousmane Dembélé,55,11,5.9,6.0,5.1
Edinson Roberto Cavani Gómez,85,19,14.2,16.6,4.8
Mauro Emanuel Icardi Rivero,57,15,10.3,10.8,4.7
Kamil Grosicki,52,9,4.3,4.4,4.7
Ángel Fabián Di María Hernández,68,10,5.3,5.6,4.7
Iñaki Williams Arthuer,45,8,3.4,3.5,4.6
Sofiane Boufal,51,9,4.6,3.6,4.4
Roberto Firmino Barbosa de Oliveira,65,10,5.6,7.4,4.4
Jozabed Sánchez Ruiz,45,9,4.7,5.4,4.3
Cédric Bakambu,49,12,7.8,9.4,4.2
Leonardo Pavoletti,67,14,9.9,10.7,4.1
Anthony Martial,58,11,7.0,7.5,4.0
Ronny Rodelin,76,10,6.1,5.5,3.9
Rubén Castro Martín,99,16,12.2,13.5,3.8
Manuel Agudo Durán,79,11,7.2,7.2,3.8
Alessandro Florenzi,48,7,3.2,3.3,3.8
Mohamed Larbi,40,7,3.3,2.5,3.7
Lucas Pérez Martínez,97,16,12.3,14.8,3.7
Miralem Pjanić,67,9,5.5,5.3,3.5
Roberto Soriano,54,8,4.5,4.7,3.5
Dimitri Payet,69,9,5.5,5.1,3.5
Alexandre Lacazette,92,19,15.5,17.6,3.5
Rachid Ghezzal,55,8,4.5,4.9,3.5
Paulo Bruno Exequiel Dybala,100,13,9.6,10.1,3.4
Valère Germain,66,14,10.7,10.3,3.3
Emanuele Giaccherini,46,7,3.7,3.5,3.3
Fernando José Torres Sanz,57,11,7.8,7.8,3.2
Aritz Aduriz Zubeldia,91,17,13.9,14.8,3.1
Ivan Rakitić,44,7,4.0,4.8,3.0
André Ayew Pelé,69,12,9.0,7.6,3.0
Harry Kane,153,20,17.1,17.7,2.9
Federico Dionisi,85,8,5.1,5.2,2.9
Massimo Maccarone,81,12,9.1,8.4,2.9
Daniel Parejo Muñoz,44,6,3.2,3.0,2.8
Felipe Anderson Pereira Gomes,50,7,4.3,5.0,2.7
Eder Citadin Martins,77,10,7.3,7.3,2.7
Nathan Redmond,53,6,3.3,2.7,2.7
Rodrigue Casimir Ninga,43,7,4.3,5.4,2.7
Fayçal Fajr,45,5,2.3,2.3,2.7
Georginio Wijnaldum,53,10,7.4,6.9,2.6
Bamidele Alli,73,10,7.4,8.4,2.6
Lionel Andrés Messi Cuccittini,151,23,20.5,15.8,2.5
Jonathan Rodríguez Menéndez,55,5,2.6,2.4,2.4
Kevin De Bruyne,48,7,4.6,4.5,2.4
Carlos Arturo Bacca Ahumada,79,16,13.6,13.8,2.4
Shane Long,63,10,7.6,8.0,2.4
Josip Iličić,67,6,3.7,3.9,2.3
Daniel Andre Sturridge,48,8,5.7,5.1,2.3
Matteo Politano,43,5,2.7,2.8,2.3
Willian José da Silva,54,9,6.7,5.9,2.3
Lorenzo Insigne,133,10,7.8,7.6,2.2
Yannis Salibur,78,7,4.8,3.2,2.2
Hernán Arsenio Pérez González,47,7,4.8,4.7,2.2
Rubén Rochina Naixes,78,6,3.8,3.6,2.2
Bernardo Mota Veiga de Carvalho e Silva,40,7,4.9,4.9,2.1
Cheikh N''Doye,64,9,6.9,6.4,2.1
Abdul Majeed Waris,53,9,6.9,8.6,2.1
Jamie Vardy,112,19,17.0,17.6,2.0
Gylfi Þór Sigurðsson,86,8,6.0,5.1,2.0
Wissam Ben Yedder,89,15,13.0,15.0,2.0
Adam Ounas,44,5,3.1,3.6,1.9
Graziano Pellè,82,11,9.1,7.7,1.9
José Luis Morales Nogales,72,7,5.1,5.1,1.9
Ayoze Pérez Gutiérrez,51,6,4.1,3.7,1.9
Patrick van Aanholt,46,4,2.1,2.4,1.9
Pablo Sarabia García,65,7,5.2,4.3,1.8
Alberto Gilardino,49,10,8.2,8.1,1.8
Wahbi Khazri,65,7,5.2,5.3,1.8
Dries Mertens,55,5,3.3,3.4,1.7
Sergio Enrich Ametller,44,9,7.3,7.4,1.7
Mauricio Ricardo Pinilla Ferreira,41,5,3.4,2.7,1.6
Andy Carroll,54,8,6.4,5.5,1.6
Michail Antonio,56,8,6.5,5.6,1.5
Jorge Resurrección Merodio,42,5,3.5,3.4,1.5
Jordan Ayew,60,6,4.5,4.5,1.5
Neymar da Silva Santos Junior,116,19,17.5,15.0,1.5
Djibril Sidibé,41,4,2.5,2.9,1.5
Kevin Lasagna,42,5,3.5,4.1,1.5
Mario Mandžukić,40,10,8.6,8.0,1.4
Bruno da Silva Peres,40,3,1.6,1.5,1.4
Pedro Eliezer Rodríguez Ledesma,59,7,5.6,6.0,1.4
Piotr Zieliński,64,5,3.6,4.7,1.4
Willian Borges da Silva,59,5,3.6,3.7,1.4
Jessy Pi,54,3,1.7,1.8,1.3
Sergio Floccari,46,6,4.7,3.9,1.3
Manuel Lanzini,48,5,3.7,3.4,1.3
Mauro Matías Zárate,70,7,5.7,4.7,1.3
Gaël Danic,40,4,2.7,2.9,1.3
Georges-Kévin Nkoudou Mbida,48,5,3.7,3.8,1.3
Romain Alessandrini,58,5,3.8,4.2,1.2
Marco Borriello,54,7,5.8,5.4,1.2
Jermain Defoe,87,14,12.8,12.4,1.2
Yacine Bammou,43,4,2.8,3.0,1.2
Aleksandar Kolarov,40,3,1.9,1.1,1.1
Fernando Lucas Martins,48,4,2.9,2.6,1.1
Alassane Pléa,47,6,4.9,6.7,1.1
Benjamin Jeannot,64,7,6.0,6.6,1.0
Saúl Ñíguez Esclapez,47,4,3.0,2.9,1.0
Steven Fletcher,41,6,5.0,4.2,1.0
Iago Aspas Juncal,81,13,12.0,12.4,1.0
Radja Nainggolan,66,6,5.0,3.8,1.0
Nicola Sansone,62,7,6.1,4.9,0.9
Federico Nicolás Cartabia,52,3,2.1,2.2,0.9
Christian Dannemann Eriksen,99,6,5.1,5.1,0.9
Youssef El-Arabi,65,9,8.2,8.2,0.8
Fabien Camus,65,5,4.2,4.5,0.8
Benjamin Moukandjo Bilé,52,8,7.2,6.9,0.8
Floyd Ayité,68,6,5.2,4.9,0.8
Isaac Ajayi Success,57,6,5.3,5.8,0.7
Artur Ioniţă,40,4,3.3,2.9,0.7
Felipe Salvador Caicedo Corozo,41,8,7.3,6.6,0.7
Kevin Mirallas,41,4,3.3,3.2,0.7
Olivier Giroud,102,15,14.4,12.2,0.6
Franco Brienza,41,3,2.4,2.1,0.6
Leandro Daniel Paredes,53,2,1.4,1.0,0.6
Billy Ketkeophomphone,58,4,3.4,3.3,0.6
Yannick Bolasie Yala,58,5,4.5,4.3,0.5
Souleymane Camara,47,7,6.5,6.8,0.5
Valter Birsa,51,4,3.5,3.0,0.5
Gregoire Defrel,52,7,6.5,6.1,0.5
Roberto Soldado Rillo,41,5,4.5,4.9,0.5
Borja González Tomás,91,15,14.5,14.5,0.5
Fabio Borini,48,4,3.5,4.0,0.5
Alexis Alejandro Sánchez Sánchez,111,13,12.5,11.3,0.5
Matías Vecino Falero,48,2,1.6,1.9,0.4
Rémy Cabella,49,5,4.6,4.5,0.4
Arnaldo Antonio Sanabria Ayala,51,10,9.6,10.6,0.4
Duván Esteban Zapata Banguera,52,8,7.6,7.2,0.4
Emiliano Sala,60,6,5.6,5.3,0.4
Robert Brady,54,3,2.7,3.1,0.3
Diego da Silva Costa,70,12,11.7,11.8,0.3
Deyverson Brum Silva Acosta,72,9,8.7,8.3,0.3
André Filipe Tavares Gomes,42,3,2.7,2.4,0.3
Wayne Mark Rooney,70,7,6.8,6.1,0.2
Luis Fernando Muriel Fruto,56,6,5.8,5.5,0.2
Lucas Rodrigues Moura da Silva,61,8,7.8,8.3,0.2
Yannick Ferreira Carrasco,54,4,3.8,4.2,0.2
Marcelo Brozović,56,4,3.8,3.4,0.2
Alejandro Darío Gómez,87,7,6.9,6.0,0.1
Tiago Manuel Dias Correia,80,3,2.9,2.5,0.1
Philippe Coutinho Correia,111,8,7.9,7.1,0.1
Toby Alderweireld,41,4,3.9,3.2,0.1
Raúl García Escudero,79,7,7.0,5.3,0.0
Óscar Guido Trejo,43,4,4.0,3.2,0.0
Junior Stanislas,46,3,3.0,2.4,0.0
Jonathan Viera Ramos,83,6,6.0,6.0,0.0
Francisco Alcácer García,60,11,11.0,10.8,0.0
Kevin Gameiro,68,12,12.1,12.4,-0.1
Lucas Nahuel Castro,44,3,3.1,3.1,-0.1
Adam David Lallana,42,4,4.1,3.9,-0.1
Álvaro Borja Morata Martín,48,6,6.1,6.2,-0.1
Javier Guerra Rodríguez,71,12,12.1,10.9,-0.1
Giuseppe Rossi,48,5,5.1,4.9,-0.1
Stephan El Shaarawy,74,8,8.2,8.0,-0.2
Corentin Tolisso,62,5,5.2,4.7,-0.2
François Kamano,41,3,3.3,3.7,-0.3
Nicolás Ladislao Fedor Flores,42,9,9.3,10.1,-0.3
Danny Drinkwater,42,2,2.3,1.8,-0.3
Paul Pogba,122,7,7.3,7.8,-0.3
Khalid Boutaïb,52,5,5.3,5.5,-0.3
Adrián González Morales,47,5,5.3,4.8,-0.3
Marek Hamšík,82,5,5.3,5.2,-0.3
Nolan Roux,58,8,8.3,8.2,-0.3
Alberto Paloschi,53,9,9.3,10.0,-0.3
Craig Gardner,49,3,3.3,3.1,-0.3
Bruno Miguel Borges Fernandes,51,2,2.4,1.8,-0.4
Raphaël Adelino José Guerreiro,42,3,3.4,2.5,-0.4
Troy Deeney,87,7,7.4,6.6,-0.4
Francesc Fàbregas i Soler,46,3,3.4,2.5,-0.4
Gnégnéri Yaya Touré,73,5,5.4,5.1,-0.4
Ivan Perišić,71,7,7.4,7.8,-0.4
Charles Días Barbosa de Oliveira,85,11,11.5,10.0,-0.5
Yevhen Konoplyanka,50,3,3.5,2.9,-0.5
Marcos Alonso Mendoza,56,3,3.5,3.0,-0.5
Ryad Boudebouz,53,2,2.5,2.4,-0.5
José María Callejón Bueno,64,7,7.5,8.2,-0.5
Marko Arnautović,69,8,8.6,8.7,-0.6
Marco Benassi,47,3,3.6,2.7,-0.6
Marc Albrighton,42,2,2.6,2.4,-0.6
Daniel Ciofani,75,7,7.6,6.5,-0.6
Cyril Théréau,76,11,11.6,10.8,-0.6
Damjan Đoković,41,2,2.7,2.5,-0.7
Dušan Tadić,55,6,6.7,6.0,-0.7
Luca Siligardi,46,2,2.7,2.3,-0.7
Antonio Floro Flores,59,4,4.8,3.7,-0.8
José Salomón Rondón Giménez,72,9,9.8,8.3,-0.8
Dan Gosling,40,3,3.8,3.1,-0.8
Emmanuel Agyemang-Badu,41,4,4.8,4.5,-0.8
Matt Ritchie,79,4,4.9,4.6,-0.9
Danilo Soddimo,43,1,1.9,1.4,-0.9
Gerard Moreno Balaguero,53,6,6.9,6.6,-0.9
Francisco Román Alarcón Suárez,42,3,3.9,3.6,-0.9
Jean Michaël Seri,51,3,3.9,3.8,-0.9
Bafétimbi Gomis,58,5,5.9,6.8,-0.9
Sadio Mané,85,11,11.9,11.3,-0.9
Jasmin Kurtič,41,2,2.9,2.5,-0.9
Romelu Lukaku Menama,114,17,18.0,16.6,-1.0
Riccardo Saponara,72,5,6.0,6.1,-1.0
Fabián Ariel Orellana Valenzuela,76,6,7.0,8.0,-1.0
Keita Baldé Diao,63,4,5.1,5.3,-1.1
Corentin Jean,55,3,4.1,3.8,-1.1
Manuel Pucciarelli,58,6,7.1,6.7,-1.1
Franco Damián Vázquez,105,7,8.2,7.5,-1.2
Juan Manuel Mata García,57,5,6.2,5.1,-1.2
Jonathas Cristian de Jesus,58,7,8.2,7.3,-1.2
Adrián Embarba Blázquez,40,2,3.2,3.5,-1.2
Luis Alberto Romero Alconchel,79,6,7.3,6.6,-1.3
Claudio Beauvue,74,5,6.3,6.4,-1.3
Ross Barkley,93,6,7.3,6.1,-1.3
Gilles Sunu,46,2,3.3,2.8,-1.3
Rudy Gestede,63,5,6.4,5.2,-1.4
Vincent Bessat,40,1,2.4,2.0,-1.4
Antonio Candreva,82,4,5.4,5.2,-1.4
Pedro León Sánchez Gil,43,2,3.4,2.7,-1.4
Raheem Sterling,51,6,7.5,6.4,-1.5
Michy Batshuayi Tunga,121,15,16.5,17.1,-1.5
Ciro Immobile,48,5,6.5,5.9,-1.5
Jacques Zoua Daogari,47,3,4.5,3.8,-1.5
Mesut Özil,49,6,7.5,6.0,-1.5
Stevan Jovetić,69,5,6.5,7.0,-1.5
Domenico Berardi,83,4,5.5,5.2,-1.5
Jimmy Briand,64,7,8.6,7.2,-1.6
Theo Walcott,46,5,6.6,6.7,-1.6
Yohan Cabaye,65,2,3.6,3.5,-1.6
Duje Čop,48,6,7.7,7.6,-1.7
Federico Bernardeschi,54,2,3.7,2.9,-1.7
Odion Jude Ighalo,111,15,16.7,16.9,-1.7
Alen Halilović,59,3,4.7,4.2,-1.7
Joshua King,56,6,7.7,5.8,-1.7
Mattia Destro,64,6,7.8,6.9,-1.8
Armindo Tué Na Bangna,48,2,3.8,3.5,-1.8
Oscar dos Santos Emboaba Júnior,49,2,3.8,3.5,-1.8
Cheikhou Kouyaté,46,5,6.9,5.4,-1.9
Mathieu Valbuena,41,1,2.9,2.5,-1.9
Daniel Wass,49,2,3.9,4.3,-1.9
Andrea Belotti,69,8,9.9,10.1,-1.9
Sergio Ezequiel Araújo,61,5,6.9,6.9,-1.9
Víctor Rodríguez Romero,45,2,3.9,3.7,-1.9
Jason Puncheon,53,2,4.0,3.6,-2.0
Diego Alejandro Rolan Silva,45,5,7.0,7.8,-2.0
Erik Lamela,59,5,7.0,5.9,-2.0
Luca Cigarini,42,1,3.0,2.7,-2.0
Kévin Monnet-Paquet,44,2,4.1,3.7,-2.1
Mario Barwuah Balotelli,42,1,3.1,2.7,-2.1
Alejandro Bedoya,46,3,5.2,5.4,-2.2
Nikola Kalinić,73,12,14.2,14.3,-2.2
Giacomo Bonaventura,106,6,8.3,7.6,-2.3
Carlos Alberto Vela Garrido,61,5,7.3,8.1,-2.3
Keisuke Honda,48,1,3.4,3.2,-2.4
Jonjo Shelvey,56,0,2.4,1.9,-2.4
Marco Parolo,56,3,5.4,5.1,-2.4
Éric Bauthéac,54,2,4.5,4.2,-2.5
Aaron Ramsey,67,5,7.5,7.4,-2.5
Memphis Depay,56,2,4.5,4.4,-2.5
Christian Benteke Liolo,63,8,10.6,10.2,-2.6
