competition,team,xP,actP,games,diff
La Liga,Barcelona,83.0,91,38,8.0
La Liga,Real Madrid,70.5,90,38,19.5
La Liga,Atlético Madrid,68.0,88,38,20.0
La Liga,Villarreal,45.6,64,38,18.4
La Liga,Athletic Club,59.9,62,38,2.1
La Liga,Celta Vigo,50.8,60,38,9.2
La Liga,Sevilla,61.2,52,38,-9.2
La Liga,Málaga,53.7,48,38,-5.7
La Liga,Real Sociedad,57.8,48,38,-9.8
La Liga,Real Betis,42.8,45,38,2.2
La Liga,Las Palmas,41.3,44,38,2.7
La Liga,Valencia,43.9,44,38,0.1
La Liga,Eibar,51.6,43,38,-8.6
La Liga,Espanyol,47.4,43,38,-4.4
La Liga,RC Deportivo La Coruña,48.6,42,38,-6.6
La Liga,Sporting Gijón,42.0,39,38,-3.0
La Liga,Granada,39.7,39,38,-0.7
La Liga,Rayo Vallecano,50.2,38,38,-12.2
La Liga,Getafe,46.1,36,38,-10.1
La Liga,Levante UD,38.8,32,38,-6.8
Ligue 1,Paris Saint-Germain,79.8,93,37,13.2
Ligue 1,AS Monaco,55.8,65,38,9.2
Ligue 1,Lyon,65.3,65,38,-0.3
Ligue 1,OGC Nice,54.2,63,38,8.8
Ligue 1,Lille,57.4,60,38,2.6
Ligue 1,Saint-Étienne,50.7,58,37,7.3
Ligue 1,Stade Malherbe Caen,39.1,54,38,14.9
Ligue 1,Rennes,49.0,52,38,3.0
Ligue 1,Bastia,38.7,50,37,11.3
Ligue 1,Angers,47.3,50,38,2.7
Ligue 1,Montpellier,49.6,49,38,-0.6
Ligue 1,Olympique de Marseille,49.0,48,38,-1.0
Ligue 1,Nantes,52.7,48,38,-4.7
Ligue 1,Bordeaux,51.5,47,37,-4.5
Ligue 1,Lorient,45.2,46,38,0.8
Ligue 1,Guingamp,51.9,44,38,-7.9
Ligue 1,Toulouse,58.1,40,38,-18.1
Ligue 1,Stade de Reims,51.6,39,38,-12.6
Ligue 1,Gazélec Ajaccio,46.0,34,37,-12.0
Ligue 1,Troyes,31.3,18,37,-13.3
Premier League,Leicester City,61.0,81,38,20.0
Premier League,Arsenal,73.4,71,38,-2.4
Premier League,Tottenham Hotspur,62.0,70,38,8.0
Premier League,Manchester City,69.3,66,38,-3.3
Premier League,Manchester United,51.7,66,38,14.3
Premier League,Southampton,59.1,63,38,3.9
Premier League,West Ham United,56.0,62,38,6.0
Premier League,Liverpool,64.0,60,38,-4.0
Premier League,Stoke City,44.1,51,38,6.9
Premier League,Chelsea,56.8,50,38,-6.8
Premier League,Swansea City,42.4,47,38,4.6
Premier League,Everton,51.7,47,38,-4.7
Premier League,Watford,46.9,45,38,-1.9
Premier League,West Bromwich Albion,45.0,43,38,-2.0
Premier League,AFC Bournemouth,51.6,42,38,-9.6
Premier League,Crystal Palace,45.7,42,38,-3.7
Premier League,Sunderland,41.7,39,38,-2.7
Premier League,Newcastle United,43.7,37,38,-6.7
Premier League,Norwich City,44.6,34,38,-10.6
Premier League,Aston Villa,33.8,17,38,-16.8
Serie A,Juventus,74.3,91,38,16.7
Serie A,Napoli,74.4,82,38,7.6
Serie A,AS Roma,67.7,80,38,12.3
Serie A,Inter Milan,58.4,67,38,8.6
Serie A,Fiorentina,64.2,64,38,-0.2
Serie A,Sassuolo,52.3,61,38,8.7
Serie A,AC Milan,60.4,57,38,-3.4
Serie A,Lazio,55.6,54,38,-1.6
Serie A,Chievo,43.3,50,38,6.7
Serie A,Genoa,46.1,46,38,-0.1
Serie A,Empoli,43.6,46,38,2.4
Serie A,Atalanta,48.6,45,38,-3.6
Serie A,Torino,54.0,45,38,-9.0
Serie A,Bologna,40.9,42,38,1.1
Serie A,Sampdoria,40.5,40,38,-0.5
Serie A,Udinese,51.7,39,38,-12.7
Serie A,Palermo,41.6,39,38,-2.6
Serie A,Carpi,43.6,38,38,-5.6
Serie A,Frosinone,31.3,31,38,-0.3
Serie A,Hellas Verona,45.5,28,38,-17.5
