,0
angle_deg,0.19175777
distance,0.18771839
shot_body_part_Head,0.17215125
play_pattern_From Corner,0.092171125
under_pressure,0.07615187
play_pattern_From Counter,0.05636056
shot_type_Free Kick,0.03384575
shot_technique_Half Volley,0.033708993
shot_technique_Other,0.028398253
shot_first_time,0.025153894
shot_technique_Volley,0.02389261
play_pattern_From Throw In,0.016373001
play_pattern_From Goal Kick,0.015217107
shot_body_part_Other,0.01398122
play_pattern_From Free Kick,0.012885614
shot_body_part_Left Foot,0.011892565
play_pattern_From Kick Off,0.0083401045
shot_type_Corner,0.0
play_pattern_From Keeper,0.0
play_pattern_Other,0.0
